"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"25/07/2022","17:54:53","101.090,0000","101.120,0000","101.080,0000","101.080,0000","101.080,0000","92,0000","-74,0000","18,0000"
"25/07/2022","17:50:22","101.165,0000","101.205,0000","101.090,0000","101.090,0000","101.080,0000","7.803,0000","-8.188,0000","-385,0000"
"25/07/2022","17:48:06","101.090,0000","101.165,0000","101.080,0000","101.165,0000","101.080,0000","10.074,0000","-10.058,0000","16,0000"
"25/07/2022","17:45:46","101.015,0000","101.090,0000","100.995,0000","101.090,0000","101.080,0000","10.858,0000","-5.783,0000","5.075,0000"
"25/07/2022","17:19:15","100.940,0000","101.015,0000","100.890,0000","101.015,0000","101.080,0000","82.032,0000","-74.614,0000","7.418,0000"
"25/07/2022","17:05:35","101.015,0000","101.085,0000","100.940,0000","100.940,0000","101.080,0000","37.896,0000","-47.308,0000","-9.412,0000"
"25/07/2022","17:01:08","101.090,0000","101.095,0000","101.015,0000","101.015,0000","101.080,0000","10.207,0000","-14.761,0000","-4.554,0000"
"25/07/2022","16:50:52","101.015,0000","101.090,0000","100.980,0000","101.090,0000","101.080,0000","71.431,0000","-65.890,0000","5.541,0000"
"25/07/2022","16:48:40","100.940,0000","101.015,0000","100.925,0000","101.015,0000","101.080,0000","27.504,0000","-15.035,0000","12.469,0000"
"25/07/2022","16:41:50","100.865,0000","100.940,0000","100.825,0000","100.940,0000","101.080,0000","37.232,0000","-37.875,0000","-643,0000"
"25/07/2022","16:40:43","100.940,0000","100.940,0000","100.865,0000","100.865,0000","101.080,0000","4.879,0000","-9.274,0000","-4.395,0000"
"25/07/2022","16:38:17","100.865,0000","100.940,0000","100.860,0000","100.940,0000","101.080,0000","23.209,0000","-13.777,0000","9.432,0000"
"25/07/2022","16:36:52","100.790,0000","100.865,0000","100.775,0000","100.865,0000","101.080,0000","11.736,0000","-8.947,0000","2.789,0000"
"25/07/2022","16:31:36","100.865,0000","100.930,0000","100.790,0000","100.790,0000","101.080,0000","34.829,0000","-45.462,0000","-10.633,0000"
"25/07/2022","16:27:58","100.940,0000","100.955,0000","100.865,0000","100.865,0000","101.080,0000","27.916,0000","-37.450,0000","-9.534,0000"
"25/07/2022","16:15:43","101.015,0000","101.070,0000","100.940,0000","100.940,0000","101.080,0000","71.547,0000","-72.435,0000","-888,0000"
"25/07/2022","16:04:38","100.940,0000","101.015,0000","100.875,0000","101.015,0000","101.080,0000","84.161,0000","-76.914,0000","7.247,0000"
"25/07/2022","16:04:02","101.015,0000","101.040,0000","100.940,0000","100.940,0000","101.080,0000","4.880,0000","-17.847,0000","-12.967,0000"
"25/07/2022","16:02:15","101.090,0000","101.100,0000","101.015,0000","101.015,0000","101.080,0000","13.458,0000","-17.706,0000","-4.248,0000"
"25/07/2022","15:51:50","101.015,0000","101.090,0000","100.975,0000","101.090,0000","101.080,0000","64.121,0000","-58.369,0000","5.752,0000"
"25/07/2022","15:49:31","101.090,0000","101.110,0000","101.015,0000","101.015,0000","101.080,0000","14.087,0000","-16.716,0000","-2.629,0000"
"25/07/2022","15:47:20","101.015,0000","101.090,0000","101.010,0000","101.090,0000","101.080,0000","24.258,0000","-15.736,0000","8.522,0000"
"25/07/2022","15:46:32","101.090,0000","101.100,0000","101.015,0000","101.015,0000","101.080,0000","9.696,0000","-18.163,0000","-8.467,0000"
"25/07/2022","15:45:37","101.165,0000","101.180,0000","101.090,0000","101.090,0000","101.080,0000","10.115,0000","-23.701,0000","-13.586,0000"
"25/07/2022","15:40:54","101.240,0000","101.265,0000","101.165,0000","101.165,0000","101.080,0000","31.603,0000","-38.011,0000","-6.408,0000"
"25/07/2022","15:35:57","101.165,0000","101.240,0000","101.100,0000","101.240,0000","101.080,0000","64.416,0000","-73.559,0000","-9.143,0000"
"25/07/2022","15:35:46","101.090,0000","101.165,0000","101.075,0000","101.165,0000","101.080,0000","17.997,0000","-7.313,0000","10.684,0000"
"25/07/2022","15:35:36","101.015,0000","101.090,0000","101.010,0000","101.090,0000","101.080,0000","13.954,0000","-3.046,0000","10.908,0000"
"25/07/2022","15:32:05","100.940,0000","101.015,0000","100.920,0000","101.015,0000","101.080,0000","29.709,0000","-18.392,0000","11.317,0000"
"25/07/2022","15:27:30","100.865,0000","100.940,0000","100.850,0000","100.940,0000","101.080,0000","25.417,0000","-21.557,0000","3.860,0000"
"25/07/2022","15:26:15","100.940,0000","100.940,0000","100.865,0000","100.865,0000","101.080,0000","4.922,0000","-11.181,0000","-6.259,0000"
"25/07/2022","15:10:25","100.865,0000","100.940,0000","100.795,0000","100.940,0000","101.080,0000","91.880,0000","-87.426,0000","4.454,0000"
"25/07/2022","15:08:01","100.790,0000","100.865,0000","100.775,0000","100.865,0000","101.080,0000","17.574,0000","-11.150,0000","6.424,0000"
"25/07/2022","14:58:03","100.865,0000","100.890,0000","100.790,0000","100.790,0000","101.080,0000","58.346,0000","-58.101,0000","245,0000"
"25/07/2022","14:50:14","100.790,0000","100.865,0000","100.740,0000","100.865,0000","101.080,0000","51.485,0000","-42.834,0000","8.651,0000"
"25/07/2022","14:49:20","100.865,0000","100.885,0000","100.790,0000","100.790,0000","101.080,0000","9.392,0000","-23.929,0000","-14.537,0000"
"25/07/2022","14:48:04","100.940,0000","100.945,0000","100.865,0000","100.865,0000","101.080,0000","6.943,0000","-12.960,0000","-6.017,0000"
"25/07/2022","14:45:26","100.865,0000","100.940,0000","100.845,0000","100.940,0000","101.080,0000","23.842,0000","-12.644,0000","11.198,0000"
"25/07/2022","14:40:06","100.790,0000","100.865,0000","100.760,0000","100.865,0000","101.080,0000","42.530,0000","-28.109,0000","14.421,0000"
"25/07/2022","14:31:14","100.865,0000","100.920,0000","100.790,0000","100.790,0000","101.080,0000","32.447,0000","-46.106,0000","-13.659,0000"
"25/07/2022","14:21:56","100.940,0000","100.960,0000","100.865,0000","100.865,0000","101.080,0000","38.058,0000","-42.086,0000","-4.028,0000"
"25/07/2022","14:18:57","100.865,0000","100.940,0000","100.855,0000","100.940,0000","101.080,0000","22.350,0000","-12.563,0000","9.787,0000"
"25/07/2022","14:15:42","100.940,0000","100.955,0000","100.865,0000","100.865,0000","101.080,0000","14.242,0000","-24.468,0000","-10.226,0000"
"25/07/2022","14:09:30","101.015,0000","101.035,0000","100.940,0000","100.940,0000","101.080,0000","31.871,0000","-40.248,0000","-8.377,0000"
"25/07/2022","14:05:38","100.940,0000","101.015,0000","100.910,0000","101.015,0000","101.080,0000","30.694,0000","-20.997,0000","9.697,0000"
"25/07/2022","13:59:42","100.865,0000","100.940,0000","100.830,0000","100.940,0000","101.080,0000","40.482,0000","-36.192,0000","4.290,0000"
"25/07/2022","13:51:08","100.940,0000","100.955,0000","100.865,0000","100.865,0000","101.080,0000","36.395,0000","-46.315,0000","-9.920,0000"
"25/07/2022","13:50:03","101.015,0000","101.015,0000","100.940,0000","100.940,0000","101.080,0000","4.686,0000","-13.553,0000","-8.867,0000"
"25/07/2022","13:41:10","100.940,0000","101.015,0000","100.905,0000","101.015,0000","101.080,0000","49.708,0000","-43.880,0000","5.828,0000"
"25/07/2022","13:31:05","100.865,0000","100.940,0000","100.835,0000","100.940,0000","101.080,0000","46.144,0000","-37.547,0000","8.597,0000"
"25/07/2022","13:19:46","100.790,0000","100.865,0000","100.725,0000","100.865,0000","101.080,0000","65.015,0000","-53.107,0000","11.908,0000"
"25/07/2022","13:18:07","100.865,0000","100.865,0000","100.790,0000","100.790,0000","101.080,0000","6.053,0000","-9.837,0000","-3.784,0000"
"25/07/2022","13:16:23","100.790,0000","100.865,0000","100.780,0000","100.865,0000","101.080,0000","10.287,0000","-6.864,0000","3.423,0000"
"25/07/2022","13:14:01","100.865,0000","100.875,0000","100.790,0000","100.790,0000","101.080,0000","18.420,0000","-29.133,0000","-10.713,0000"
"25/07/2022","13:03:07","100.940,0000","101.005,0000","100.865,0000","100.865,0000","101.080,0000","49.134,0000","-58.538,0000","-9.404,0000"
"25/07/2022","12:55:27","100.865,0000","100.940,0000","100.830,0000","100.940,0000","101.080,0000","50.791,0000","-42.660,0000","8.131,0000"
"25/07/2022","12:51:48","100.940,0000","100.950,0000","100.865,0000","100.865,0000","101.080,0000","13.179,0000","-24.401,0000","-11.222,0000"
"25/07/2022","12:47:37","101.015,0000","101.050,0000","100.940,0000","100.940,0000","101.080,0000","22.198,0000","-28.494,0000","-6.296,0000"
"25/07/2022","12:28:37","100.940,0000","101.015,0000","100.870,0000","101.015,0000","101.080,0000","109.673,0000","-108.182,0000","1.491,0000"
"25/07/2022","12:23:40","100.865,0000","100.940,0000","100.835,0000","100.940,0000","101.080,0000","35.694,0000","-26.168,0000","9.526,0000"
"25/07/2022","12:19:14","100.790,0000","100.865,0000","100.755,0000","100.865,0000","101.080,0000","26.804,0000","-17.872,0000","8.932,0000"
"25/07/2022","12:15:41","100.715,0000","100.790,0000","100.680,0000","100.790,0000","101.080,0000","26.690,0000","-23.517,0000","3.173,0000"
"25/07/2022","12:12:53","100.790,0000","100.820,0000","100.715,0000","100.715,0000","101.080,0000","15.231,0000","-23.585,0000","-8.354,0000"
"25/07/2022","12:10:24","100.865,0000","100.895,0000","100.790,0000","100.790,0000","101.080,0000","16.828,0000","-22.261,0000","-5.433,0000"
"25/07/2022","12:06:55","100.790,0000","100.865,0000","100.730,0000","100.865,0000","101.080,0000","22.625,0000","-21.650,0000","975,0000"
"25/07/2022","12:05:44","100.865,0000","100.875,0000","100.790,0000","100.790,0000","101.080,0000","5.529,0000","-8.956,0000","-3.427,0000"
"25/07/2022","12:05:13","100.790,0000","100.865,0000","100.785,0000","100.865,0000","101.080,0000","5.378,0000","-2.692,0000","2.686,0000"
"25/07/2022","12:03:44","100.865,0000","100.875,0000","100.790,0000","100.790,0000","101.080,0000","7.555,0000","-13.128,0000","-5.573,0000"
