"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"13/07/2022","17:53:31","98.655,0000","98.670,0000","98.595,0000","98.670,0000","98.670,0000","3.601,0000","-2.697,0000","904,0000"
"13/07/2022","17:46:10","98.730,0000","98.755,0000","98.655,0000","98.655,0000","98.670,0000","24.732,0000","-25.725,0000","-993,0000"
"13/07/2022","17:43:23","98.805,0000","98.845,0000","98.730,0000","98.730,0000","98.670,0000","12.595,0000","-17.733,0000","-5.138,0000"
"13/07/2022","17:41:24","98.880,0000","98.915,0000","98.805,0000","98.805,0000","98.670,0000","5.696,0000","-7.722,0000","-2.026,0000"
"13/07/2022","17:37:56","98.805,0000","98.880,0000","98.805,0000","98.880,0000","98.670,0000","13.209,0000","-9.703,0000","3.506,0000"
"13/07/2022","17:37:36","98.880,0000","98.885,0000","98.805,0000","98.805,0000","98.670,0000","5.105,0000","-10.510,0000","-5.405,0000"
"13/07/2022","17:34:02","98.955,0000","98.965,0000","98.880,0000","98.880,0000","98.670,0000","8.452,0000","-14.120,0000","-5.668,0000"
"13/07/2022","17:19:00","98.880,0000","98.955,0000","98.850,0000","98.955,0000","98.670,0000","39.526,0000","-38.105,0000","1.421,0000"
"13/07/2022","17:08:15","98.955,0000","99.020,0000","98.880,0000","98.880,0000","98.670,0000","36.311,0000","-43.379,0000","-7.068,0000"
"13/07/2022","17:05:21","98.880,0000","98.955,0000","98.865,0000","98.955,0000","98.670,0000","16.324,0000","-10.464,0000","5.860,0000"
"13/07/2022","17:03:11","98.955,0000","98.960,0000","98.880,0000","98.880,0000","98.670,0000","4.966,0000","-7.832,0000","-2.866,0000"
"13/07/2022","17:00:44","98.880,0000","98.955,0000","98.880,0000","98.955,0000","98.670,0000","10.256,0000","-7.029,0000","3.227,0000"
"13/07/2022","16:49:27","98.955,0000","98.990,0000","98.880,0000","98.880,0000","98.670,0000","74.144,0000","-70.043,0000","4.101,0000"
"13/07/2022","16:48:19","98.880,0000","98.955,0000","98.880,0000","98.955,0000","98.670,0000","7.469,0000","-5.799,0000","1.670,0000"
"13/07/2022","16:48:02","98.955,0000","98.955,0000","98.880,0000","98.880,0000","98.670,0000","759,0000","-2.673,0000","-1.914,0000"
"13/07/2022","16:47:28","98.880,0000","98.955,0000","98.880,0000","98.955,0000","98.670,0000","5.143,0000","-3.716,0000","1.427,0000"
"13/07/2022","16:45:53","98.955,0000","98.995,0000","98.880,0000","98.880,0000","98.670,0000","17.717,0000","-17.836,0000","-119,0000"
"13/07/2022","16:44:04","98.880,0000","98.955,0000","98.850,0000","98.955,0000","98.670,0000","22.774,0000","-20.846,0000","1.928,0000"
"13/07/2022","16:41:30","98.955,0000","98.990,0000","98.880,0000","98.880,0000","98.670,0000","14.115,0000","-20.035,0000","-5.920,0000"
"13/07/2022","16:39:19","99.030,0000","99.040,0000","98.955,0000","98.955,0000","98.670,0000","13.934,0000","-19.640,0000","-5.706,0000"
"13/07/2022","16:35:57","98.955,0000","99.030,0000","98.910,0000","99.030,0000","98.670,0000","31.595,0000","-23.029,0000","8.566,0000"
"13/07/2022","16:33:40","98.880,0000","98.955,0000","98.870,0000","98.955,0000","98.670,0000","26.874,0000","-24.550,0000","2.324,0000"
"13/07/2022","16:31:24","98.955,0000","98.985,0000","98.880,0000","98.880,0000","98.670,0000","19.504,0000","-24.723,0000","-5.219,0000"
"13/07/2022","16:31:05","99.030,0000","99.040,0000","98.955,0000","98.955,0000","98.670,0000","6.085,0000","-6.698,0000","-613,0000"
"13/07/2022","16:30:53","98.955,0000","99.030,0000","98.955,0000","99.030,0000","98.670,0000","7.853,0000","-2.943,0000","4.910,0000"
"13/07/2022","16:30:33","99.030,0000","99.035,0000","98.955,0000","98.955,0000","98.670,0000","6.108,0000","-16.661,0000","-10.553,0000"
"13/07/2022","16:25:58","99.105,0000","99.150,0000","99.030,0000","99.030,0000","98.670,0000","47.774,0000","-56.185,0000","-8.411,0000"
"13/07/2022","16:18:04","99.180,0000","99.215,0000","99.105,0000","99.105,0000","98.670,0000","55.732,0000","-59.283,0000","-3.551,0000"
"13/07/2022","16:13:04","99.255,0000","99.280,0000","99.180,0000","99.180,0000","98.670,0000","35.520,0000","-38.814,0000","-3.294,0000"
"13/07/2022","16:09:01","99.180,0000","99.255,0000","99.150,0000","99.255,0000","98.670,0000","45.061,0000","-35.205,0000","9.856,0000"
"13/07/2022","16:05:19","99.255,0000","99.300,0000","99.180,0000","99.180,0000","98.670,0000","37.482,0000","-44.107,0000","-6.625,0000"
"13/07/2022","16:00:21","99.330,0000","99.365,0000","99.255,0000","99.255,0000","98.670,0000","40.557,0000","-48.726,0000","-8.169,0000"
"13/07/2022","15:59:36","99.405,0000","99.425,0000","99.330,0000","99.330,0000","98.670,0000","14.226,0000","-18.634,0000","-4.408,0000"
