Trades
"Papel","Abertura","Tempo","C/V","Prc Médio Cpa","Prc Médio Vda","Data","Qtd","Res. Tot. Líq.",
"WINQ22","09:06:00","1m59s","V","98.655","98.715","05/07/2022","1","11,58",
"WINQ22","09:11:44","25s","C","98.760","98.660","05/07/2022","1","-20,42",
"WINQ22","09:12:31","58s","V","98.760","98.660","05/07/2022","2","-40,84",
"WINQ22","09:16:42","33s","V","98.880","98.775","05/07/2022","1","-21,42",
"WINQ22","09:18:12","4m14s","C","98.890","98.950","05/07/2022","1","11,58",
"WINQ22","09:23:43","6m3s","C","98.950","99.010","05/07/2022","1","11,58",
"WINQ22","09:30:32","2m29s","V","99.050","98.945","05/07/2022","1","-21,42",
"WINQ22","09:39:03","2m16s","C","99.135","99.035","05/07/2022","1","-20,42",
"WINQ22","09:57:57","2m3s","V","98.995","98.895","05/07/2022","2","-40,84",

