"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"25/07/2022","17:59:57","5.364,0000","5.365,5000","5.364,0000","5.364,5000","5.364,5000","26,0000","-101,0000","-75,0000"
"25/07/2022","17:58:40","5.366,5000","5.367,5000","5.364,0000","5.364,0000","5.364,5000","984,0000","-3.389,0000","-2.405,0000"
"25/07/2022","17:55:28","5.369,0000","5.370,5000","5.366,5000","5.366,5000","5.364,5000","2.656,0000","-2.125,0000","531,0000"
"25/07/2022","17:55:21","5.366,5000","5.369,0000","5.366,5000","5.369,0000","5.364,5000","248,0000","-324,0000","-76,0000"
"25/07/2022","17:55:14","5.369,0000","5.371,0000","5.366,5000","5.366,5000","5.364,5000","334,0000","-1.407,0000","-1.073,0000"
"25/07/2022","17:53:12","5.371,5000","5.372,0000","5.369,0000","5.369,0000","5.364,5000","1.485,0000","-3.005,0000","-1.520,0000"
"25/07/2022","17:51:56","5.369,0000","5.371,5000","5.368,0000","5.371,5000","5.364,5000","1.922,0000","-1.009,0000","913,0000"
"25/07/2022","17:51:26","5.371,5000","5.372,0000","5.369,0000","5.369,0000","5.364,5000","416,0000","-750,0000","-334,0000"
"25/07/2022","17:50:58","5.369,0000","5.371,5000","5.368,0000","5.371,5000","5.364,5000","1.029,0000","-188,0000","841,0000"
"25/07/2022","17:48:52","5.366,5000","5.369,0000","5.365,5000","5.369,0000","5.364,5000","3.971,0000","-3.883,0000","88,0000"
"25/07/2022","17:47:55","5.369,0000","5.369,5000","5.366,5000","5.366,5000","5.364,5000","2.989,0000","-3.588,0000","-599,0000"
"25/07/2022","17:46:32","5.371,5000","5.373,0000","5.369,0000","5.369,0000","5.364,5000","1.351,0000","-5.259,0000","-3.908,0000"
"25/07/2022","17:45:04","5.374,0000","5.375,0000","5.371,5000","5.371,5000","5.364,5000","2.534,0000","-5.030,0000","-2.496,0000"
"25/07/2022","17:42:17","5.376,5000","5.378,0000","5.374,0000","5.374,0000","5.364,5000","1.785,0000","-3.678,0000","-1.893,0000"
"25/07/2022","17:34:45","5.379,0000","5.380,0000","5.376,5000","5.376,5000","5.364,5000","5.446,0000","-5.327,0000","119,0000"
"25/07/2022","17:28:44","5.376,5000","5.379,0000","5.374,5000","5.379,0000","5.364,5000","8.675,0000","-7.510,0000","1.165,0000"
"25/07/2022","17:28:18","5.379,0000","5.379,5000","5.376,5000","5.376,5000","5.364,5000","651,0000","-2.894,0000","-2.243,0000"
"25/07/2022","17:25:50","5.381,5000","5.382,0000","5.379,0000","5.379,0000","5.364,5000","1.182,0000","-1.727,0000","-545,0000"
"25/07/2022","17:24:48","5.379,0000","5.381,5000","5.379,0000","5.381,5000","5.364,5000","1.198,0000","-508,0000","690,0000"
"25/07/2022","17:20:04","5.381,5000","5.382,5000","5.379,0000","5.379,0000","5.364,5000","4.350,0000","-4.647,0000","-297,0000"
"25/07/2022","17:19:32","5.379,0000","5.381,5000","5.379,0000","5.381,5000","5.364,5000","820,0000","-336,0000","484,0000"
"25/07/2022","17:19:15","5.381,5000","5.381,5000","5.379,0000","5.379,0000","5.364,5000","466,0000","-1.095,0000","-629,0000"
"25/07/2022","17:18:38","5.379,0000","5.381,5000","5.378,0000","5.381,5000","5.364,5000","3.926,0000","-1.152,0000","2.774,0000"
"25/07/2022","17:18:14","5.376,5000","5.379,0000","5.376,5000","5.379,0000","5.364,5000","937,0000","-640,0000","297,0000"
"25/07/2022","17:17:50","5.379,0000","5.379,5000","5.376,5000","5.376,5000","5.364,5000","1.636,0000","-1.963,0000","-327,0000"
"25/07/2022","17:06:41","5.376,5000","5.379,0000","5.374,5000","5.379,0000","5.364,5000","10.306,0000","-6.740,0000","3.566,0000"
"25/07/2022","17:03:47","5.374,0000","5.376,5000","5.372,0000","5.376,5000","5.364,5000","6.571,0000","-3.326,0000","3.245,0000"
"25/07/2022","17:03:33","5.371,5000","5.374,0000","5.370,0000","5.374,0000","5.364,5000","2.908,0000","-2.796,0000","112,0000"
"25/07/2022","17:03:33","5.374,0000","5.374,0000","5.371,5000","5.371,5000","5.364,5000","24,0000","-245,0000","-221,0000"
"25/07/2022","17:03:33","5.371,5000","5.374,0000","5.370,0000","5.374,0000","5.364,5000","102,0000","-2.424,0000","-2.322,0000"
"25/07/2022","17:03:33","5.374,0000","5.375,0000","5.371,5000","5.371,5000","5.364,5000","41,0000","-2.230,0000","-2.189,0000"
"25/07/2022","17:02:00","5.376,5000","5.378,5000","5.374,0000","5.374,0000","5.364,5000","1.930,0000","-3.659,0000","-1.729,0000"
"25/07/2022","16:59:14","5.379,0000","5.380,0000","5.376,5000","5.376,5000","5.364,5000","3.368,0000","-5.609,0000","-2.241,0000"
"25/07/2022","16:57:57","5.381,5000","5.382,5000","5.379,0000","5.379,0000","5.364,5000","1.876,0000","-3.089,0000","-1.213,0000"
"25/07/2022","16:57:47","5.379,0000","5.381,5000","5.379,0000","5.381,5000","5.364,5000","2.030,0000","-271,0000","1.759,0000"
"25/07/2022","16:52:07","5.381,5000","5.382,5000","5.379,0000","5.379,0000","5.364,5000","4.791,0000","-7.988,0000","-3.197,0000"
"25/07/2022","16:43:29","5.384,0000","5.384,5000","5.381,5000","5.381,5000","5.364,5000","5.480,0000","-5.456,0000","24,0000"
"25/07/2022","16:32:44","5.381,5000","5.384,0000","5.380,5000","5.384,0000","5.364,5000","9.442,0000","-5.857,0000","3.585,0000"
