"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"25/07/2022","17:48:08","101.115,0000","101.205,0000","101.080,0000","101.080,0000","101.080,0000","16.389,0000","-18.188,0000","-1.799,0000"
"25/07/2022","17:45:46","101.015,0000","101.115,0000","100.995,0000","101.115,0000","101.080,0000","12.438,0000","-5.915,0000","6.523,0000"
"25/07/2022","17:19:15","100.915,0000","101.015,0000","100.890,0000","101.015,0000","101.080,0000","82.032,0000","-71.942,0000","10.090,0000"
"25/07/2022","16:50:52","101.015,0000","101.095,0000","100.915,0000","100.915,0000","101.080,0000","119.534,0000","-130.631,0000","-11.097,0000"
"25/07/2022","16:39:04","100.915,0000","101.015,0000","100.825,0000","101.015,0000","101.080,0000","80.944,0000","-70.642,0000","10.302,0000"
"25/07/2022","16:34:44","100.815,0000","100.915,0000","100.775,0000","100.915,0000","101.080,0000","38.021,0000","-31.365,0000","6.656,0000"
"25/07/2022","16:29:06","100.915,0000","100.955,0000","100.815,0000","100.815,0000","101.080,0000","41.770,0000","-56.485,0000","-14.715,0000"
"25/07/2022","16:15:43","101.015,0000","101.070,0000","100.915,0000","100.915,0000","101.080,0000","78.117,0000","-81.763,0000","-3.646,0000"
"25/07/2022","16:05:35","100.915,0000","101.015,0000","100.875,0000","101.015,0000","101.080,0000","73.414,0000","-60.824,0000","12.590,0000"
"25/07/2022","15:47:20","101.015,0000","101.110,0000","100.915,0000","100.915,0000","101.080,0000","131.551,0000","-142.464,0000","-10.913,0000"
"25/07/2022","15:46:11","101.115,0000","101.135,0000","101.015,0000","101.015,0000","101.080,0000","12.473,0000","-24.917,0000","-12.444,0000"
"25/07/2022","15:40:07","101.215,0000","101.265,0000","101.115,0000","101.115,0000","101.080,0000","50.394,0000","-67.568,0000","-17.174,0000"
"25/07/2022","15:37:45","101.115,0000","101.215,0000","101.100,0000","101.215,0000","101.080,0000","25.313,0000","-21.192,0000","4.121,0000"
"25/07/2022","15:36:17","101.215,0000","101.215,0000","101.115,0000","101.115,0000","101.080,0000","17.840,0000","-31.084,0000","-13.244,0000"
"25/07/2022","15:35:48","101.115,0000","101.215,0000","101.105,0000","101.215,0000","101.080,0000","21.866,0000","-14.530,0000","7.336,0000"
