Trades
"Papel","Abertura","Tempo","C/V","Prc Médio Cpa","Prc Médio Vda","Data","Qtd","Res. Tot. Líq.",
"WINQ22","09:02:15","1m43s","V","100.020","100.080","04/07/2022","1","11,58",
"WINQ22","09:05:36","47s","V","99.895","99.955","04/07/2022","1","11,58",
"WINQ22","09:08:29","22s","V","99.845","99.840","04/07/2022","1","-1,42",
"WINQ22","09:10:46","4s","V","99.875","99.770","04/07/2022","1","-21,42",
"WINQ22","09:11:15","1m52s","V","99.725","99.780","04/07/2022","2","21,16",
"WINQ22","09:13:35","1m9s","V","99.815","99.715","04/07/2022","2","-40,84",
"WINQ22","09:15:09","36s","C","99.830","99.885","04/07/2022","6","63,48",
"WINQ22","09:17:18","3m48s","V","99.880","99.780","04/07/2022","1","-20,42",
"WINQ22","09:21:08","1m16s","C","99.885","99.785","04/07/2022","2","-40,84",
"WINQ22","09:22:28","5m54s","V","99.870","99.770","04/07/2022","6","-122,52",
"WINQ22","10:55:42","41s","V","99.935","99.830","04/07/2022","6","-128,52",
"WINQ22","10:56:36","2m37s","C","99.945","99.845","04/07/2022","1","-20,42",
"WINQ22","11:00:48","59s","C","99.950","99.835","04/07/2022","1","-23,42",
"WINQ22","11:08:26","1m","V","99.945","100.005","04/07/2022","1","11,58",
"WINQ22","11:12:36","1m19s","V","99.830","99.890","04/07/2022","1","11,58",
"WINQ22","11:15:23","13s","C","99.840","99.895","04/07/2022","6","63,48",
"WINQ22","11:23:36","1m23s","V","99.835","99.890","04/07/2022","2","21,16",
"WINQ22","11:27:06","1m42s","V","99.875","99.765","04/07/2022","1","-22,42",
"WINQ22","11:29:30","20s","C","99.950","100.005","04/07/2022","6","63,48",
"WINQ22","11:30:37","3s","V","99.990","100.045","04/07/2022","6","63,48",
"WINQ22","11:32:30","33s","V","100.110","100.010","04/07/2022","6","-122,52",
"WINQ22","11:34:00","34s","C","100.130","100.190","04/07/2022","1","11,58",
"WINQ22","11:36:39","6s","V","100.230","100.130","04/07/2022","6","-122,52",

