Trades
"Papel","Abertura","Tempo","C/V","Prc Médio Cpa","Prc Médio Vda","Data","Qtd","Res. Tot. Líq.",
"WINQ22","09:02:03","7s","V","98.885","98.940","06/07/2022","2","21,16",
"WINQ22","09:03:59","1m33s","V","99.010","98.910","06/07/2022","2","-40,84",
"WINQ22","09:06:37","32s","C","99.055","99.110","06/07/2022","2","21,16",
"WINQ22","09:08:26","11s","V","98.960","99.015","06/07/2022","2","21,16",
"WINQ22","09:16:26","20s","C","98.955","99.010","06/07/2022","2","21,16",
"WINQ22","09:17:26","13s","C","99.080","98.975","06/07/2022","1","-21,42",
"WINQ22","09:19:08","30s","C","99.070","98.970","06/07/2022","2","-40,84",
"WINQ22","09:23:03","3m37s","C","98.955","98.855","06/07/2022","2","-40,84",
"WINQ22","09:26:42","1m20s","V","98.960","98.850","06/07/2022","2","-44,84",
"WINQ22","09:32:13","1m50s","C","99.060","99.115","06/07/2022","6","63,48",
"WINQ22","09:35:00","1m9s","V","99.170","99.060","06/07/2022","6","-134,52",
"WINQ22","09:40:15","3m32s","V","99.180","99.080","06/07/2022","6","-122,52",

