"Data","Hora","Abertura","Máxima","Mínima","Fechamento","ULT","Compradores","Vendedores","Saldo"
"25/07/2022","17:59:55","5.364,5000","5.365,5000","5.364,0000","5.364,5000","5.364,5000","35,0000","-504,0000","-469,0000"
"25/07/2022","17:59:31","5.367,5000","5.367,5000","5.364,5000","5.364,5000","5.364,5000","280,0000","-625,0000","-345,0000"
"25/07/2022","17:59:28","5.364,5000","5.367,5000","5.364,5000","5.367,5000","5.364,5000","363,0000","-67,0000","296,0000"
"25/07/2022","17:56:46","5.367,5000","5.369,0000","5.364,5000","5.364,5000","5.364,5000","2.281,0000","-3.142,0000","-861,0000"
"25/07/2022","17:55:52","5.370,5000","5.370,5000","5.367,5000","5.367,5000","5.364,5000","247,0000","-1.097,0000","-850,0000"
"25/07/2022","17:55:21","5.367,5000","5.370,5000","5.366,5000","5.370,5000","5.364,5000","720,0000","-836,0000","-116,0000"
"25/07/2022","17:51:26","5.370,5000","5.372,0000","5.367,5000","5.367,5000","5.364,5000","4.472,0000","-5.839,0000","-1.367,0000"
"25/07/2022","17:48:33","5.367,5000","5.370,5000","5.365,5000","5.370,5000","5.364,5000","5.017,0000","-4.873,0000","144,0000"
"25/07/2022","17:46:51","5.370,5000","5.372,0000","5.367,5000","5.367,5000","5.364,5000","3.320,0000","-6.540,0000","-3.220,0000"
"25/07/2022","17:45:12","5.373,5000","5.374,0000","5.370,5000","5.370,5000","5.364,5000","3.142,0000","-5.849,0000","-2.707,0000"
"25/07/2022","17:42:17","5.376,5000","5.378,0000","5.373,5000","5.373,5000","5.364,5000","1.853,0000","-4.364,0000","-2.511,0000"
"25/07/2022","17:34:49","5.379,5000","5.380,0000","5.376,5000","5.376,5000","5.364,5000","4.997,0000","-5.295,0000","-298,0000"
"25/07/2022","17:28:44","5.376,5000","5.379,5000","5.374,5000","5.379,5000","5.364,5000","9.124,0000","-7.542,0000","1.582,0000"
"25/07/2022","17:24:37","5.379,5000","5.382,0000","5.376,5000","5.376,5000","5.364,5000","3.103,0000","-5.310,0000","-2.207,0000"
"25/07/2022","17:21:13","5.382,5000","5.382,5000","5.379,5000","5.379,5000","5.364,5000","2.181,0000","-2.594,0000","-413,0000"
"25/07/2022","17:18:44","5.379,5000","5.382,5000","5.379,0000","5.382,5000","5.364,5000","6.976,0000","-4.270,0000","2.706,0000"
"25/07/2022","17:18:14","5.376,5000","5.379,5000","5.376,5000","5.379,5000","5.364,5000","1.270,0000","-825,0000","445,0000"
"25/07/2022","17:17:50","5.379,5000","5.379,5000","5.376,5000","5.376,5000","5.364,5000","1.098,0000","-1.963,0000","-865,0000"
"25/07/2022","17:06:41","5.376,5000","5.379,5000","5.374,5000","5.379,5000","5.364,5000","10.844,0000","-6.740,0000","4.104,0000"
"25/07/2022","17:03:44","5.373,5000","5.376,5000","5.372,0000","5.376,5000","5.364,5000","7.032,0000","-3.474,0000","3.558,0000"
"25/07/2022","17:03:33","5.370,5000","5.373,5000","5.370,0000","5.373,5000","5.364,5000","2.439,0000","-2.600,0000","-161,0000"
"25/07/2022","17:03:33","5.373,5000","5.374,0000","5.370,5000","5.370,5000","5.364,5000","58,0000","-293,0000","-235,0000"
"25/07/2022","17:03:33","5.370,5000","5.373,5000","5.370,0000","5.373,5000","5.364,5000","76,0000","-1.120,0000","-1.044,0000"
"25/07/2022","17:03:33","5.373,5000","5.373,5000","5.370,5000","5.370,5000","5.364,5000","0,0000","-2.846,0000","-2.846,0000"
"25/07/2022","17:02:00","5.376,5000","5.378,5000","5.373,5000","5.373,5000","5.364,5000","1.971,0000","-4.347,0000","-2.376,0000"
"25/07/2022","16:58:58","5.379,5000","5.380,5000","5.376,5000","5.376,5000","5.364,5000","3.581,0000","-5.971,0000","-2.390,0000"
"25/07/2022","16:58:05","5.382,5000","5.382,5000","5.379,5000","5.379,5000","5.364,5000","539,0000","-2.294,0000","-1.755,0000"
"25/07/2022","16:57:47","5.379,5000","5.382,5000","5.379,0000","5.382,5000","5.364,5000","3.154,0000","-1.095,0000","2.059,0000"
"25/07/2022","16:33:19","5.382,5000","5.384,5000","5.379,5000","5.379,5000","5.364,5000","18.890,0000","-18.789,0000","101,0000"
"25/07/2022","16:32:12","5.379,5000","5.382,5000","5.378,5000","5.382,5000","5.364,5000","2.438,0000","-1.901,0000","537,0000"
"25/07/2022","16:14:02","5.382,5000","5.385,0000","5.379,5000","5.379,5000","5.364,5000","13.264,0000","-16.452,0000","-3.188,0000"
"25/07/2022","16:11:07","5.385,5000","5.386,0000","5.382,5000","5.382,5000","5.364,5000","4.096,0000","-3.751,0000","345,0000"
"25/07/2022","16:03:42","5.382,5000","5.385,5000","5.381,0000","5.385,5000","5.364,5000","13.062,0000","-7.471,0000","5.591,0000"
"25/07/2022","16:00:54","5.379,5000","5.382,5000","5.379,0000","5.382,5000","5.364,5000","7.345,0000","-3.229,0000","4.116,0000"
"25/07/2022","15:54:19","5.376,5000","5.379,5000","5.375,5000","5.379,5000","5.364,5000","11.290,0000","-6.888,0000","4.402,0000"
"25/07/2022","15:53:29","5.379,5000","5.380,0000","5.376,5000","5.376,5000","5.364,5000","996,0000","-2.617,0000","-1.621,0000"
"25/07/2022","15:52:43","5.376,5000","5.379,5000","5.376,0000","5.379,5000","5.364,5000","1.813,0000","-933,0000","880,0000"
"25/07/2022","15:52:01","5.379,5000","5.380,5000","5.376,5000","5.376,5000","5.364,5000","2.069,0000","-4.498,0000","-2.429,0000"
"25/07/2022","15:47:18","5.382,5000","5.383,0000","5.379,5000","5.379,5000","5.364,5000","8.028,0000","-8.157,0000","-129,0000"
"25/07/2022","15:46:59","5.379,5000","5.382,5000","5.378,5000","5.382,5000","5.364,5000","3.963,0000","-459,0000","3.504,0000"
"25/07/2022","15:44:38","5.376,5000","5.379,5000","5.374,0000","5.379,5000","5.364,5000","10.355,0000","-12.510,0000","-2.155,0000"
"25/07/2022","15:41:18","5.379,5000","5.382,0000","5.376,5000","5.376,5000","5.364,5000","8.948,0000","-10.744,0000","-1.796,0000"
"25/07/2022","15:38:15","5.382,5000","5.384,0000","5.379,5000","5.379,5000","5.364,5000","4.784,0000","-5.960,0000","-1.176,0000"
"25/07/2022","15:37:35","5.379,5000","5.382,5000","5.378,5000","5.382,5000","5.364,5000","5.999,0000","-2.579,0000","3.420,0000"
"25/07/2022","15:37:05","5.376,5000","5.379,5000","5.375,5000","5.379,5000","5.364,5000","4.081,0000","-5.434,0000","-1.353,0000"
"25/07/2022","15:36:52","5.379,5000","5.380,5000","5.376,5000","5.376,5000","5.364,5000","2.461,0000","-4.603,0000","-2.142,0000"
"25/07/2022","15:36:34","5.382,5000","5.383,0000","5.379,5000","5.379,5000","5.364,5000","1.261,0000","-5.497,0000","-4.236,0000"
"25/07/2022","15:36:03","5.385,5000","5.386,5000","5.382,5000","5.382,5000","5.364,5000","1.140,0000","-5.284,0000","-4.144,0000"
"25/07/2022","15:35:46","5.388,5000","5.388,5000","5.385,5000","5.385,5000","5.364,5000","900,0000","-4.237,0000","-3.337,0000"
"25/07/2022","15:33:24","5.391,5000","5.392,0000","5.388,5000","5.388,5000","5.364,5000","3.480,0000","-4.326,0000","-846,0000"
"25/07/2022","15:27:16","5.388,5000","5.391,5000","5.388,0000","5.391,5000","5.364,5000","8.923,0000","-6.756,0000","2.167,0000"
"25/07/2022","15:25:56","5.385,5000","5.388,5000","5.383,5000","5.388,5000","5.364,5000","4.773,0000","-3.510,0000","1.263,0000"
"25/07/2022","15:17:41","5.388,5000","5.391,0000","5.385,5000","5.385,5000","5.364,5000","15.986,0000","-14.064,0000","1.922,0000"
"25/07/2022","15:17:05","5.385,5000","5.388,5000","5.385,0000","5.388,5000","5.364,5000","5.819,0000","-5.087,0000","732,0000"
"25/07/2022","15:16:49","5.388,5000","5.390,0000","5.385,5000","5.385,5000","5.364,5000","4.397,0000","-7.727,0000","-3.330,0000"
"25/07/2022","15:16:49","5.391,5000","5.391,5000","5.388,5000","5.388,5000","5.364,5000","0,0000","-3.707,0000","-3.707,0000"
"25/07/2022","15:11:32","5.394,5000","5.397,0000","5.391,5000","5.391,5000","5.364,5000","16.673,0000","-20.969,0000","-4.296,0000"
"25/07/2022","15:11:22","5.397,5000","5.398,5000","5.394,5000","5.394,5000","5.364,5000","258,0000","-4.231,0000","-3.973,0000"
"25/07/2022","15:09:05","5.400,5000","5.402,5000","5.397,5000","5.397,5000","5.364,5000","1.815,0000","-5.582,0000","-3.767,0000"
"25/07/2022","15:07:41","5.403,5000","5.403,5000","5.400,5000","5.400,5000","5.364,5000","597,0000","-1.379,0000","-782,0000"
"25/07/2022","14:57:42","5.400,5000","5.403,5000","5.400,0000","5.403,5000","5.364,5000","7.591,0000","-5.521,0000","2.070,0000"
"25/07/2022","14:50:13","5.403,5000","5.404,5000","5.400,5000","5.400,5000","5.364,5000","9.651,0000","-9.290,0000","361,0000"
"25/07/2022","14:30:53","5.400,5000","5.403,5000","5.399,0000","5.403,5000","5.364,5000","22.475,0000","-23.025,0000","-550,0000"
"25/07/2022","14:29:53","5.397,5000","5.400,5000","5.397,5000","5.400,5000","5.364,5000","2.741,0000","-1.061,0000","1.680,0000"
"25/07/2022","14:23:20","5.400,5000","5.403,0000","5.397,5000","5.397,5000","5.364,5000","12.684,0000","-13.519,0000","-835,0000"
"25/07/2022","14:21:59","5.397,5000","5.400,5000","5.397,0000","5.400,5000","5.364,5000","6.932,0000","-8.682,0000","-1.750,0000"
"25/07/2022","14:21:55","5.400,5000","5.401,0000","5.397,5000","5.397,5000","5.364,5000","725,0000","-5.246,0000","-4.521,0000"
"25/07/2022","14:10:49","5.403,5000","5.405,5000","5.400,5000","5.400,5000","5.364,5000","16.202,0000","-14.904,0000","1.298,0000"
"25/07/2022","14:10:49","5.400,5000","5.403,5000","5.400,5000","5.403,5000","5.364,5000","5,0000","0,0000","5,0000"
"25/07/2022","14:10:49","5.403,5000","5.405,0000","5.400,5000","5.400,5000","5.364,5000","411,0000","-64,0000","347,0000"
"25/07/2022","14:10:49","5.400,5000","5.403,5000","5.400,5000","5.403,5000","5.364,5000","105,0000","-1.196,0000","-1.091,0000"
"25/07/2022","14:10:49","5.403,5000","5.404,0000","5.400,5000","5.400,5000","5.364,5000","0,0000","-3.859,0000","-3.859,0000"
"25/07/2022","14:09:28","5.406,5000","5.407,5000","5.403,5000","5.403,5000","5.364,5000","1.506,0000","-5.572,0000","-4.066,0000"
"25/07/2022","14:02:53","5.409,5000","5.410,0000","5.406,5000","5.406,5000","5.364,5000","6.404,0000","-7.335,0000","-931,0000"
"25/07/2022","14:02:18","5.406,5000","5.409,5000","5.406,5000","5.409,5000","5.364,5000","1.520,0000","-363,0000","1.157,0000"
"25/07/2022","13:57:38","5.409,5000","5.411,0000","5.406,5000","5.406,5000","5.364,5000","4.003,0000","-6.059,0000","-2.056,0000"
"25/07/2022","13:52:10","5.412,5000","5.412,5000","5.409,5000","5.409,5000","5.364,5000","3.879,0000","-3.948,0000","-69,0000"
"25/07/2022","13:48:47","5.409,5000","5.412,5000","5.408,0000","5.412,5000","5.364,5000","4.889,0000","-4.465,0000","424,0000"
"25/07/2022","13:46:44","5.412,5000","5.412,5000","5.409,5000","5.409,5000","5.364,5000","1.184,0000","-1.875,0000","-691,0000"
"25/07/2022","13:45:36","5.409,5000","5.412,5000","5.409,5000","5.412,5000","5.364,5000","5.102,0000","-1.384,0000","3.718,0000"
"25/07/2022","13:41:41","5.406,5000","5.409,5000","5.406,0000","5.409,5000","5.364,5000","4.917,0000","-3.655,0000","1.262,0000"
"25/07/2022","13:36:59","5.409,5000","5.411,0000","5.406,5000","5.406,5000","5.364,5000","4.023,0000","-3.773,0000","250,0000"
"25/07/2022","13:32:24","5.406,5000","5.409,5000","5.406,5000","5.409,5000","5.364,5000","3.445,0000","-2.900,0000","545,0000"
"25/07/2022","13:30:32","5.409,5000","5.411,0000","5.406,5000","5.406,5000","5.364,5000","1.537,0000","-5.149,0000","-3.612,0000"
"25/07/2022","13:22:22","5.412,5000","5.414,5000","5.409,5000","5.409,5000","5.364,5000","6.464,0000","-9.091,0000","-2.627,0000"
"25/07/2022","13:19:43","5.415,5000","5.415,5000","5.412,5000","5.412,5000","5.364,5000","2.088,0000","-4.167,0000","-2.079,0000"
"25/07/2022","13:15:05","5.412,5000","5.415,5000","5.411,5000","5.415,5000","5.364,5000","12.100,0000","-6.531,0000","5.569,0000"
"25/07/2022","13:13:27","5.409,5000","5.412,5000","5.409,0000","5.412,5000","5.364,5000","6.885,0000","-1.542,0000","5.343,0000"
"25/07/2022","13:10:47","5.406,5000","5.409,5000","5.405,0000","5.409,5000","5.364,5000","4.601,0000","-5.352,0000","-751,0000"
"25/07/2022","13:09:58","5.409,5000","5.409,5000","5.406,5000","5.406,5000","5.364,5000","696,0000","-1.240,0000","-544,0000"
"25/07/2022","13:08:00","5.406,5000","5.409,5000","5.406,0000","5.409,5000","5.364,5000","3.228,0000","-2.383,0000","845,0000"
"25/07/2022","13:05:39","5.409,5000","5.410,0000","5.406,5000","5.406,5000","5.364,5000","4.612,0000","-3.099,0000","1.513,0000"
"25/07/2022","13:04:45","5.406,5000","5.409,5000","5.406,0000","5.409,5000","5.364,5000","3.436,0000","-3.378,0000","58,0000"
"25/07/2022","13:03:38","5.409,5000","5.409,5000","5.406,5000","5.406,5000","5.364,5000","1.046,0000","-2.369,0000","-1.323,0000"
"25/07/2022","13:03:07","5.406,5000","5.409,5000","5.406,5000","5.409,5000","5.364,5000","2.523,0000","-3.072,0000","-549,0000"
"25/07/2022","12:58:25","5.409,5000","5.412,0000","5.406,5000","5.406,5000","5.364,5000","11.491,0000","-13.947,0000","-2.456,0000"
"25/07/2022","12:58:09","5.412,5000","5.413,0000","5.409,5000","5.409,5000","5.364,5000","73,0000","-3.385,0000","-3.312,0000"
"25/07/2022","12:55:45","5.415,5000","5.415,5000","5.412,5000","5.412,5000","5.364,5000","2.443,0000","-2.217,0000","226,0000"
"25/07/2022","12:53:50","5.412,5000","5.415,5000","5.411,0000","5.415,5000","5.364,5000","5.289,0000","-4.834,0000","455,0000"
"25/07/2022","12:53:39","5.415,5000","5.415,5000","5.412,5000","5.412,5000","5.364,5000","628,0000","-1.539,0000","-911,0000"
"25/07/2022","12:48:01","5.412,5000","5.415,5000","5.410,5000","5.415,5000","5.364,5000","8.990,0000","-4.709,0000","4.281,0000"
"25/07/2022","12:46:49","5.409,5000","5.412,5000","5.409,5000","5.412,5000","5.364,5000","3.464,0000","-3.079,0000","385,0000"
"25/07/2022","12:43:40","5.412,5000","5.413,5000","5.409,5000","5.409,5000","5.364,5000","6.908,0000","-10.852,0000","-3.944,0000"
"25/07/2022","12:42:38","5.415,5000","5.417,0000","5.412,5000","5.412,5000","5.364,5000","684,0000","-3.747,0000","-3.063,0000"
"25/07/2022","12:37:39","5.418,5000","5.420,5000","5.415,5000","5.415,5000","5.364,5000","6.339,0000","-6.107,0000","232,0000"
"25/07/2022","12:33:36","5.415,5000","5.418,5000","5.413,5000","5.418,5000","5.364,5000","6.260,0000","-2.616,0000","3.644,0000"
"25/07/2022","12:32:35","5.412,5000","5.415,5000","5.412,5000","5.415,5000","5.364,5000","1.841,0000","-1.196,0000","645,0000"
"25/07/2022","12:28:50","5.415,5000","5.416,5000","5.412,5000","5.412,5000","5.364,5000","4.775,0000","-8.509,0000","-3.734,0000"
"25/07/2022","12:25:28","5.418,5000","5.420,5000","5.415,5000","5.415,5000","5.364,5000","6.021,0000","-5.340,0000","681,0000"
"25/07/2022","12:23:42","5.415,5000","5.418,5000","5.414,5000","5.418,5000","5.364,5000","4.050,0000","-3.468,0000","582,0000"
"25/07/2022","12:23:14","5.418,5000","5.418,5000","5.415,5000","5.415,5000","5.364,5000","1.368,0000","-2.455,0000","-1.087,0000"
"25/07/2022","12:23:14","5.415,5000","5.418,5000","5.415,5000","5.418,5000","5.364,5000","616,0000","-448,0000","168,0000"
"25/07/2022","12:23:14","5.418,5000","5.418,5000","5.415,5000","5.415,5000","5.364,5000","2,0000","-50,0000","-48,0000"
"25/07/2022","12:23:14","5.415,5000","5.418,5000","5.415,5000","5.418,5000","5.364,5000","2,0000","-1,0000","1,0000"
"25/07/2022","12:23:14","5.418,5000","5.418,5000","5.415,5000","5.415,5000","5.364,5000","6,0000","-35,0000","-29,0000"
"25/07/2022","12:23:14","5.415,5000","5.418,5000","5.415,5000","5.418,5000","5.364,5000","41,0000","-319,0000","-278,0000"
"25/07/2022","12:23:14","5.418,5000","5.419,0000","5.415,5000","5.415,5000","5.364,5000","0,0000","-2.925,0000","-2.925,0000"
"25/07/2022","12:21:03","5.421,5000","5.422,0000","5.418,5000","5.418,5000","5.364,5000","1.432,0000","-4.698,0000","-3.266,0000"
"25/07/2022","12:12:49","5.424,5000","5.425,0000","5.421,5000","5.421,5000","5.364,5000","9.693,0000","-8.006,0000","1.687,0000"
"25/07/2022","12:10:03","5.421,5000","5.424,5000","5.419,5000","5.424,5000","5.364,5000","5.595,0000","-5.578,0000","17,0000"
"25/07/2022","12:04:33","5.424,5000","5.427,0000","5.421,5000","5.421,5000","5.364,5000","10.888,0000","-19.769,0000","-8.881,0000"
"25/07/2022","12:03:38","5.421,5000","5.424,5000","5.420,5000","5.424,5000","5.364,5000","2.522,0000","-1.302,0000","1.220,0000"
"25/07/2022","12:00:53","5.424,5000","5.426,0000","5.421,5000","5.421,5000","5.364,5000","8.557,0000","-11.873,0000","-3.316,0000"
"25/07/2022","11:57:12","5.421,5000","5.424,5000","5.420,5000","5.424,5000","5.364,5000","10.554,0000","-12.446,0000","-1.892,0000"
"25/07/2022","11:55:48","5.424,5000","5.424,5000","5.421,5000","5.421,5000","5.364,5000","3.246,0000","-2.440,0000","806,0000"
"25/07/2022","11:52:20","5.421,5000","5.424,5000","5.419,5000","5.424,5000","5.364,5000","5.687,0000","-3.728,0000","1.959,0000"
"25/07/2022","11:51:21","5.418,5000","5.421,5000","5.418,5000","5.421,5000","5.364,5000","2.620,0000","-2.630,0000","-10,0000"
"25/07/2022","11:50:27","5.421,5000","5.423,5000","5.418,5000","5.418,5000","5.364,5000","2.835,0000","-4.478,0000","-1.643,0000"
"25/07/2022","11:46:15","5.424,5000","5.427,0000","5.421,5000","5.421,5000","5.364,5000","12.142,0000","-11.301,0000","841,0000"
"25/07/2022","11:44:01","5.421,5000","5.424,5000","5.419,0000","5.424,5000","5.364,5000","7.440,0000","-10.836,0000","-3.396,0000"
"25/07/2022","11:42:24","5.424,5000","5.425,0000","5.421,5000","5.421,5000","5.364,5000","3.999,0000","-11.178,0000","-7.179,0000"
"25/07/2022","11:40:09","5.421,5000","5.424,5000","5.419,5000","5.424,5000","5.364,5000","9.176,0000","-10.434,0000","-1.258,0000"
"25/07/2022","11:38:32","5.424,5000","5.425,5000","5.421,5000","5.421,5000","5.364,5000","6.082,0000","-10.725,0000","-4.643,0000"
"25/07/2022","11:37:50","5.421,5000","5.424,5000","5.420,5000","5.424,5000","5.364,5000","6.579,0000","-1.392,0000","5.187,0000"
